id;name
12224;Hollow Ponds
12234;Cherrymochi
12244;Nighthawk Interactive
12260;Mgaia Studio
12308;Prideful Sloth
12311;Gabe Cuzzillo
12324;Bluehole, Inc.
12330;Nekcom
12337;indienova
12390;Virgin Mastertronic
12402;Mild Beast Games
12403;Aurelien Regard Games
12404;Playdius
12419;Assemble Entertainment
12438;Fabraz
12457;Spaceboy Games
12459;Pixel Crow
12463;Screenwave Media
12472;Skipmore
12500;The Irregular Corporation
12540;Piko Interactive
12548;Sleepless Clinic
12549;Exozet
12554;Morgan Games
12568;Frontwing
12594;Reine Works
12631;SharkGame
12681;Mad Dog Games, LLC
12683;Darril Arts
12684;Stormind Games
12700;Not Doppler
12712;Funomena
12722;DeadToast Entertainment
12736;Lunar Ray Games
12743;Proficient City Limited
12755;NEC Avenue, Ltd.
12763;Pathos Interactive
12782;Black Matter
12832;The Gentlebros Pte. Ltd.
12836;Footprints Games
12845;KLab
12846;Bushiroad
12872;onebitbeyond
12884;Tyler Glaiel
12887;NHN PlayArt
12898;Starbreeze publishing AB
12911;Not Done Yet Games
12912;Four Horses Limited
12941;Steel Mantis
12942;Digital Uppercut Productions
19273;BigGame
19277;No Pest Productions
19278;Jens Kolhammar
19281;(Archive) Square Enix Business Division 3
19299;Witch Hunt
19308;B.B Studio
19324;Baked Games
19700;Limited Run
19830;Alawar Entertainment, Inc
19856;vikintor
